pronombre,equipo,accesibilidad,pais,comunidad,nivel_educativo,area_formacion,investigacion,investigacion_anios,conoces_proyecto,conoces_pgd,conoces_hipotesis,conoces_datos,conoces_codigo,conoces_instrumentos,conoces_resultados1,conoces_resultados2,animas,importante_preregistrar,importante_instrumentos,importante_datosocodigo,importante_resultados1,importante_resultados2
El,"Sí, participaré junto con otras personas con las que trabajo",NA,Venezuela,Personas de origen socioeconómico desfavorecido,Posgrado completo,Ingenierías,Sí,20,Conozco la práctica pero nunca la he aplicado,Conozco la práctica pero nunca la he aplicado,Conozco la práctica pero nunca la he aplicado,Conozco la práctica pero nunca la he aplicado,He aplicado la práctica,Conozco la práctica pero nunca la he aplicado,Conozco la práctica pero nunca la he aplicado,Conozco la práctica pero nunca la he aplicado,"publicar los instrumentos usados para recolectar datos?, publicar datos o código en repositorios abiertos?, publicar resultados en revistas de acceso abierto?, difundir resultados en medios como blogs, publicaciones en redes sociales, o podcasts, entre otros?",Muy importante,Muy importante,Muy importante,Muy importante,Muy importante
Ella,"Sí, participaré junto con otras personas con las que trabajo",NA,Argentina,Mujeres y géneros minoritarios,Posgrado incompleto,Ciencias Sociales,No,NA,Conozco la práctica pero nunca la he aplicado,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,publicar datos o código en repositorios abiertos?,No sé,Importante,Importante,Importante,Importante
Ella,"Sí, participaré junto con otras personas con las que trabajo",NA,Argentina,Mujeres y géneros minoritarios,Posgrado completo,Ciencias Naturales y Exactas,Sí,15,No conozco esta práctica,No conozco esta práctica,No conozco esta práctica,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,Conozco la práctica pero nunca la he aplicado,"publicar los instrumentos usados para recolectar datos?, publicar datos o código en repositorios abiertos?, publicar resultados en revistas de acceso abierto?",Neutral,Muy importante,Muy importante,Muy importante,Importante
Ella,"No, participaré por mi cuenta",NA,Argentina,"Mujeres y géneros minoritarios, Personas de origen socioeconómico desfavorecido, disidencia sexual",Universitario/terciario completo,Ciencias Naturales y Exactas,Sí,7,No conozco esta práctica,No conozco esta práctica,No conozco esta práctica,Conozco la práctica pero nunca la he aplicado,No conozco esta práctica,No conozco esta práctica,Conozco la práctica pero nunca la he aplicado,He aplicado la práctica,"difundir resultados en medios como blogs, publicaciones en redes sociales, o podcasts, entre otros?",No sé,No sé,Muy importante,Muy importante,Muy importante
El,"No, participaré por mi cuenta",NA,Argentina,NA,Posgrado completo,Humanidades,Sí,2,Conozco la práctica pero nunca la he aplicado,Conozco la práctica pero nunca la he aplicado,Conozco la práctica pero nunca la he aplicado,Conozco la práctica pero nunca la he aplicado,Conozco la práctica pero nunca la he aplicado,Conozco la práctica pero nunca la he aplicado,Conozco la práctica pero nunca la he aplicado,Conozco la práctica pero nunca la he aplicado,"publicar datos o código en repositorios abiertos?, publicar resultados en revistas de acceso abierto?",Neutral,Importante,Importante,Muy importante,Neutral
Ella,"Sí, participaré junto con otras personas con las que trabajo",Subiendo la grabación del evento,Argentina,Personas de origen socioeconómico desfavorecido,Posgrado completo,Ciencias de la Salud,Sí,25,No conozco esta práctica,Conozco la práctica pero nunca la he aplicado,No conozco esta práctica,He aplicado la práctica,No conozco esta práctica,Conozco la práctica pero nunca la he aplicado,He aplicado la práctica,He aplicado la práctica,"publicar datos o código en repositorios abiertos?, publicar resultados en revistas de acceso abierto?",Muy importante,Muy importante,Importante,Muy importante,Neutral
Ella,"No, participaré por mi cuenta",NA,Argentina,NA,Posgrado incompleto,Ciencias Sociales,Sí,12,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,No aplica/No sé/Prefiero no contestar,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,"difundir resultados en medios como blogs, publicaciones en redes sociales, o podcasts, entre otros?",Muy importante,Muy importante,Muy importante,Muy importante,Muy importante
Ella,"No, participaré por mi cuenta",NA,Argentina,Mujeres y géneros minoritarios,Posgrado completo,Ciencias Naturales y Exactas,Sí,15,No conozco esta práctica,No conozco esta práctica,No conozco esta práctica,Conozco la práctica pero nunca la he aplicado,He aplicado la práctica,No conozco esta práctica,He aplicado la práctica,Conozco la práctica pero nunca la he aplicado,"publicar datos o código en repositorios abiertos?, publicar resultados en revistas de acceso abierto?",No sé,No sé,Importante,Muy importante,Muy importante
El,"No, participaré por mi cuenta",NA,Argentina,NA,Posgrado completo,Ciencias Sociales,Sí,21,Conozco la práctica pero nunca la he aplicado,No conozco esta práctica,Conozco la práctica pero nunca la he aplicado,Conozco la práctica pero nunca la he aplicado,Conozco la práctica pero nunca la he aplicado,Conozco la práctica pero nunca la he aplicado,Conozco la práctica pero nunca la he aplicado,Conozco la práctica pero nunca la he aplicado,"publicar datos o código en repositorios abiertos?, publicar resultados en revistas de acceso abierto?",Importante,Importante,Importante,Importante,Importante
Ella,"Sí, participaré junto con otras personas con las que trabajo",-,Argentina,Mujeres y géneros minoritarios,Posgrado completo,Ciencias Sociales,Sí,12,Conozco la práctica pero nunca la he aplicado,Conozco la práctica pero nunca la he aplicado,Conozco la práctica pero nunca la he aplicado,He aplicado la práctica,No aplica/No sé/Prefiero no contestar,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,"publicar los instrumentos usados para recolectar datos?, publicar resultados en revistas de acceso abierto?, difundir resultados en medios como blogs, publicaciones en redes sociales, o podcasts, entre otros?",No sé,Muy importante,Muy importante,Muy importante,Muy importante
El,"No, participaré por mi cuenta","Si fuera posible, quisiera poder ver las sesiones en diferido. Muchas gracias",México,NA,Posgrado completo,Ciencias Naturales y Exactas,Sí,1,No conozco esta práctica,No conozco esta práctica,He aplicado la práctica,He aplicado la práctica,Conozco la práctica pero nunca la he aplicado,He aplicado la práctica,Conozco la práctica pero nunca la he aplicado,No conozco esta práctica,NA,Importante,Muy importante,Muy importante,Neutral,Neutral
Ella,"No, participaré por mi cuenta",Ninguna,Ecuador,NA,Posgrado completo,Ciencias Naturales y Exactas,Sí,2,Conozco la práctica pero nunca la he aplicado,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,Conozco la práctica pero nunca la he aplicado,Conozco la práctica pero nunca la he aplicado,Conozco la práctica pero nunca la he aplicado,"pre-registrar sus proyectos?, publicar los instrumentos usados para recolectar datos?, publicar datos o código en repositorios abiertos?, publicar resultados en revistas de acceso abierto?, difundir resultados en medios como blogs, publicaciones en redes sociales, o podcasts, entre otros?",Poco importante,Muy importante,Muy importante,Importante,Muy importante
El,"No, participaré por mi cuenta",NA,Colombia,NA,Posgrado completo,Ciencias Naturales y Exactas,No,NA,Conozco la práctica pero nunca la he aplicado,No conozco esta práctica,He aplicado la práctica,He aplicado la práctica,No conozco esta práctica,He aplicado la práctica,Conozco la práctica pero nunca la he aplicado,No conozco esta práctica,"difundir resultados en medios como blogs, publicaciones en redes sociales, o podcasts, entre otros?",Neutral,Importante,Importante,Neutral,Importante
Ella,"No, participaré por mi cuenta",NA,Argentina,NA,Posgrado completo,Ciencias de la Salud,Sí,10,Conozco la práctica pero nunca la he aplicado,No conozco esta práctica,No conozco esta práctica,Conozco la práctica pero nunca la he aplicado,Conozco la práctica pero nunca la he aplicado,No conozco esta práctica,He aplicado la práctica,He aplicado la práctica,"pre-registrar sus proyectos?, publicar resultados en revistas de acceso abierto?, difundir resultados en medios como blogs, publicaciones en redes sociales, o podcasts, entre otros?",Importante,Neutral,Neutral,Muy importante,Muy importante
Ella,"No, participaré por mi cuenta",NA,Argentina,ninguno,Universitario/terciario completo,Ciencias Naturales y Exactas,No,NA,No conozco esta práctica,No conozco esta práctica,No conozco esta práctica,No conozco esta práctica,No conozco esta práctica,No conozco esta práctica,No conozco esta práctica,No conozco esta práctica,"difundir resultados en medios como blogs, publicaciones en redes sociales, o podcasts, entre otros?",Neutral,Neutral,Neutral,Neutral,Neutral
Ella,"Sí, participaré junto con otras personas con las que trabajo",NA,Argentina,"Mujeres y géneros minoritarios, Personas de origen socioeconómico desfavorecido",Universitario/terciario completo,Humanidades,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ella,"Sí, participaré junto con otras personas con las que trabajo",NA,Venezuela,Mujeres y géneros minoritarios,Posgrado completo,Ciencias Sociales,Sí,20,He aplicado la práctica,Conozco la práctica pero nunca la he aplicado,Conozco la práctica pero nunca la he aplicado,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,"publicar los instrumentos usados para recolectar datos?, publicar datos o código en repositorios abiertos?, publicar resultados en revistas de acceso abierto?, difundir resultados en medios como blogs, publicaciones en redes sociales, o podcasts, entre otros?",Neutral,Muy importante,Muy importante,Muy importante,Muy importante
Ella,"Sí, participaré junto con otras personas con las que trabajo","dejando grabaciones para observar la seccion en caso de mal conexion, tambien aplicando recursos visuales dinamicos",Ecuador,"Mujeres y géneros minoritarios, Personas de origen socioeconómico desfavorecido",Universitario/terciario incompleto,Gestión de la información gerencial,No,NA,Conozco la práctica pero nunca la he aplicado,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,Conozco la práctica pero nunca la he aplicado,He aplicado la práctica,No conozco esta práctica,No conozco esta práctica,"publicar datos o código en repositorios abiertos?, publicar resultados en revistas de acceso abierto?",Importante,Importante,Importante,Importante,Importante
El,"No, participaré por mi cuenta",NA,Colombia,NA,Posgrado completo,Ciencias Naturales y Exactas,Sí,4,Conozco la práctica pero nunca la he aplicado,Conozco la práctica pero nunca la he aplicado,Conozco la práctica pero nunca la he aplicado,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,Conozco la práctica pero nunca la he aplicado,"publicar los instrumentos usados para recolectar datos?, publicar datos o código en repositorios abiertos?, publicar resultados en revistas de acceso abierto?",No sé,Muy importante,Muy importante,Muy importante,No sé
El,"Sí, participaré junto con otras personas con las que trabajo",Comunicación por escrito en correo.,Ecuador,NA,Universitario/terciario incompleto,Ciencias Sociales,Sí,1,Conozco la práctica pero nunca la he aplicado,Conozco la práctica pero nunca la he aplicado,Conozco la práctica pero nunca la he aplicado,Conozco la práctica pero nunca la he aplicado,No conozco esta práctica,Conozco la práctica pero nunca la he aplicado,No conozco esta práctica,No conozco esta práctica,"pre-registrar sus proyectos?, publicar los instrumentos usados para recolectar datos?, publicar datos o código en repositorios abiertos?",Muy importante,Importante,Importante,Importante,Importante
Ella,"Sí, participaré junto con otras personas con las que trabajo",NA,Argentina,NA,Posgrado incompleto,Ciencias Sociales,Sí,8,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,"pre-registrar sus proyectos?, publicar los instrumentos usados para recolectar datos?, publicar datos o código en repositorios abiertos?, publicar resultados en revistas de acceso abierto?, difundir resultados en medios como blogs, publicaciones en redes sociales, o podcasts, entre otros?",Muy importante,Muy importante,Muy importante,Muy importante,Muy importante
El,"No, participaré por mi cuenta",grabación del evento para verlo en diferido en caso de problemas de conexión,Argentina,NA,Universitario/terciario completo,Ingenierías,Sí,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ella,"No, participaré por mi cuenta",NA,Argentina,Mujeres y géneros minoritarios,Posgrado incompleto,Ciencias Naturales y Exactas,Sí,5,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,Conozco la práctica pero nunca la he aplicado,Conozco la práctica pero nunca la he aplicado,"pre-registrar sus proyectos?, publicar los instrumentos usados para recolectar datos?, publicar datos o código en repositorios abiertos?, publicar resultados en revistas de acceso abierto?, difundir resultados en medios como blogs, publicaciones en redes sociales, o podcasts, entre otros?",Muy importante,Muy importante,Muy importante,Muy importante,Muy importante
Ella,"Sí, participaré junto con otras personas con las que trabajo",Subiendo la grabación del evento para verlo en diferido en caso de problemas de conexión,Argentina,Mujeres y géneros minoritarios,Posgrado incompleto,Ciencias Naturales y Exactas,Sí,8,No conozco esta práctica,No conozco esta práctica,No conozco esta práctica,Conozco la práctica pero nunca la he aplicado,No conozco esta práctica,No conozco esta práctica,Conozco la práctica pero nunca la he aplicado,Conozco la práctica pero nunca la he aplicado,"publicar resultados en revistas de acceso abierto?, difundir resultados en medios como blogs, publicaciones en redes sociales, o podcasts, entre otros?",Importante,Importante,Muy importante,Muy importante,Importante
Ella,"Sí, participaré junto con otras personas con las que trabajo",NA,Ecuador,Mujeres y géneros minoritarios,Posgrado completo,Ciencias Naturales y Exactas,Sí,5,Conozco la práctica pero nunca la he aplicado,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,Conozco la práctica pero nunca la he aplicado,He aplicado la práctica,"pre-registrar sus proyectos?, publicar los instrumentos usados para recolectar datos?, publicar datos o código en repositorios abiertos?, publicar resultados en revistas de acceso abierto?, difundir resultados en medios como blogs, publicaciones en redes sociales, o podcasts, entre otros?",Muy importante,Muy importante,Muy importante,Muy importante,Muy importante
El,"Sí, participaré junto con otras personas con las que trabajo",La grabación del evento para verlo en diferido en caso de problemas de conexión,Argentina,Personas de origen socioeconómico desfavorecido,Universitario/terciario incompleto,Tecnología y Arquitectura,Sí,20,He aplicado la práctica,He aplicado la práctica,Conozco la práctica pero nunca la he aplicado,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,"pre-registrar sus proyectos?, publicar los instrumentos usados para recolectar datos?, publicar datos o código en repositorios abiertos?, publicar resultados en revistas de acceso abierto?, difundir resultados en medios como blogs, publicaciones en redes sociales, o podcasts, entre otros?",Importante,Importante,Muy importante,Muy importante,Muy importante
El,"Sí, participaré junto con otras personas con las que trabajo",NA,Ecuador,Personal de gestión administrativa en la universidad y docente,Posgrado completo,Ingenierías,Sí,7,Conozco la práctica pero nunca la he aplicado,Conozco la práctica pero nunca la he aplicado,Conozco la práctica pero nunca la he aplicado,Conozco la práctica pero nunca la he aplicado,Conozco la práctica pero nunca la he aplicado,Conozco la práctica pero nunca la he aplicado,He aplicado la práctica,He aplicado la práctica,"pre-registrar sus proyectos?, publicar resultados en revistas de acceso abierto?, difundir resultados en medios como blogs, publicaciones en redes sociales, o podcasts, entre otros?",Importante,Importante,Importante,Muy importante,Muy importante
El,"No, participaré por mi cuenta",Me gustaría contar con el material audiovisual finalizado el curso,Ecuador,NA,Posgrado completo,Ingenierías,Sí,15,Conozco la práctica pero nunca la he aplicado,No conozco esta práctica,No conozco esta práctica,Conozco la práctica pero nunca la he aplicado,Conozco la práctica pero nunca la he aplicado,No conozco esta práctica,No conozco esta práctica,No conozco esta práctica,"publicar resultados en revistas de acceso abierto?, difundir resultados en medios como blogs, publicaciones en redes sociales, o podcasts, entre otros?",Neutral,Muy importante,Muy importante,Muy importante,Importante
El,"No, participaré por mi cuenta",Proveyendo información escrita o textos.,Argentina,NA,Posgrado completo,Ciencias de la Salud,Sí,10,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,Conozco la práctica pero nunca la he aplicado,Conozco la práctica pero nunca la he aplicado,Conozco la práctica pero nunca la he aplicado,He aplicado la práctica,No conozco esta práctica,publicar resultados en revistas de acceso abierto?,Neutral,Muy importante,No sé,Muy importante,No sé
El,"No, participaré por mi cuenta",subiendo la grabación del evento para verlo en diferido en caso de problemas de conexión,Ecuador,Personas de origen socioeconómico desfavorecido,Posgrado completo,Ciencias Sociales,Sí,4,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,"publicar los instrumentos usados para recolectar datos?, publicar resultados en revistas de acceso abierto?, difundir resultados en medios como blogs, publicaciones en redes sociales, o podcasts, entre otros?",Muy importante,Importante,Importante,Muy importante,Muy importante
Ella,"Sí, participaré junto con otras personas con las que trabajo",NA,Argentina,Mujeres y géneros minoritarios,Posgrado completo,Ciencias Naturales y Exactas,Sí,26,He aplicado la práctica,Conozco la práctica pero nunca la he aplicado,No conozco esta práctica,No conozco esta práctica,He aplicado la práctica,Conozco la práctica pero nunca la he aplicado,He aplicado la práctica,He aplicado la práctica,"publicar los instrumentos usados para recolectar datos?, publicar datos o código en repositorios abiertos?, difundir resultados en medios como blogs, publicaciones en redes sociales, o podcasts, entre otros?",No sé,Importante,Muy importante,Importante,Muy importante
El,"No, participaré por mi cuenta",NA,Argentina,NA,Universitario/terciario incompleto,Ciencias Naturales y Exactas,No,5,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,"pre-registrar sus proyectos?, publicar los instrumentos usados para recolectar datos?, publicar datos o código en repositorios abiertos?, publicar resultados en revistas de acceso abierto?, difundir resultados en medios como blogs, publicaciones en redes sociales, o podcasts, entre otros?",Muy importante,Muy importante,Muy importante,Muy importante,Muy importante
Ella,"No, participaré por mi cuenta",NA,Chequia,Mujeres y géneros minoritarios,Posgrado completo,Ciencias Naturales y Exactas,Sí,10,Conozco la práctica pero nunca la he aplicado,He aplicado la práctica,Conozco la práctica pero nunca la he aplicado,He aplicado la práctica,He aplicado la práctica,No conozco esta práctica,He aplicado la práctica,He aplicado la práctica,"publicar datos o código en repositorios abiertos?, publicar resultados en revistas de acceso abierto?, difundir resultados en medios como blogs, publicaciones en redes sociales, o podcasts, entre otros?",Neutral,Neutral,Muy importante,Muy importante,Muy importante
Ella,"No, participaré por mi cuenta",NA,Argentina,Mujeres y géneros minoritarios,Universitario/terciario completo,Ciencias Sociales,No,NA,Conozco la práctica pero nunca la he aplicado,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,No conozco esta práctica,Conozco la práctica pero nunca la he aplicado,Conozco la práctica pero nunca la he aplicado,He aplicado la práctica,"difundir resultados en medios como blogs, publicaciones en redes sociales, o podcasts, entre otros?",Neutral,Neutral,Neutral,Muy importante,Muy importante
El,"Sí, participaré junto con otras personas con las que trabajo",NA,Argentina,Personas con discapacidad,Universitario/terciario completo,Ciencias Sociales,No,NA,Conozco la práctica pero nunca la he aplicado,Conozco la práctica pero nunca la he aplicado,No conozco esta práctica,Conozco la práctica pero nunca la he aplicado,No conozco esta práctica,No conozco esta práctica,No conozco esta práctica,No aplica/No sé/Prefiero no contestar,"publicar los instrumentos usados para recolectar datos?, publicar datos o código en repositorios abiertos?",Importante,Importante,Muy importante,Importante,Muy importante
